"ID","Trigger/Event","Phase","GameplayContext","ViewerPersonality","ViewershipEffect","Line","Type","Status","Source"
"B001","phone_visible","POC (unlabeled)","First time phone/camera raised; stream feels live","React intent (fearful+humor weighted)","+4 (Phone Visible Viewers)","chat time {emoji:positive}","template","wired-in-graph","ChatGraph.asset: Phone Msg 1"
"B002","phone_visible","POC (unlabeled)","First time phone/camera raised; stream feels live","React intent (fearful+humor weighted)","+4 (Phone Visible Viewers)","hi, is this urbex?","line","wired-in-graph","ChatGraph.asset: Phone Msg 1"
"B003","phone_visible","POC (unlabeled)","First time phone/camera raised; stream feels live","React intent (fearful+humor weighted)","+4 (Phone Visible Viewers)","W chat","line","wired-in-graph","ChatGraph.asset: Phone Msg 1"
"B004","phone_visible","POC (unlabeled)","First time phone/camera raised; stream feels live","React intent (fearful+humor weighted)","+4 (Phone Visible Viewers)","Hype","line","wired-in-graph","ChatGraph.asset: Phone Msg 1"
"B005","phone_visible","POC (unlabeled)","Phone raised; second greeting pool","React intent (fearful+humor weighted)","+4 (Phone Visible Viewers)","hello","line","wired-in-graph","ChatGraph.asset: Phone Msg 2"
"B006","phone_visible","POC (unlabeled)","Phone raised; second greeting pool","React intent (fearful+humor weighted)","+4 (Phone Visible Viewers)","hi there","line","wired-in-graph","ChatGraph.asset: Phone Msg 2"
"B007","phone_visible","POC (unlabeled)","Phone raised; second greeting pool","React intent (fearful+humor weighted)","+4 (Phone Visible Viewers)","ooo, this looks creepy","line","wired-in-graph","ChatGraph.asset: Phone Msg 2"
"B008","flashlight_on","POC (unlabeled)","Player turns flashlight on (only if is_flashlight_on branch true)","React intent (fearful+humor weighted)","+4 (Flashlight On Viewers)","finally {emoji:positive}","template","wired-in-graph","ChatGraph.asset: Flashlight On Messages"
"B009","flashlight_on","POC (unlabeled)","Player turns flashlight on (only if is_flashlight_on branch true)","React intent (fearful+humor weighted)","+4 (Flashlight On Viewers)","turn it off its scarier in the dark","line","wired-in-graph","ChatGraph.asset: Flashlight On Messages"
"B010","flashlight_on","POC (unlabeled)","Player turns flashlight on (only if is_flashlight_on branch true)","React intent (fearful+humor weighted)","+4 (Flashlight On Viewers)","we can see now {emoji:positive}","template","wired-in-graph","ChatGraph.asset: Flashlight On Messages"
"B011","flashlight_off","POC (unlabeled)","Player turns flashlight off","React intent (fearful+humor weighted)","+4 (Flashlight Off Viewers)","why did you turn it off {emoji:fearful}","template","wired-in-graph","ChatGraph.asset: Flashlight Off Messages"
"B012","flashlight_off","POC (unlabeled)","Player turns flashlight off","React intent (fearful+humor weighted)","+4 (Flashlight Off Viewers)","bro I cant see anything","line","wired-in-graph","ChatGraph.asset: Flashlight Off Messages"
"B013","flashlight_off","POC (unlabeled)","Player turns flashlight off","React intent (fearful+humor weighted)","+4 (Flashlight Off Viewers)","noooo {emoji:fearful}[2-3]","template","wired-in-graph","ChatGraph.asset: Flashlight Off Messages"
"B014","flashlight_off","POC (unlabeled)","Player turns flashlight off","React intent (fearful+humor weighted)","+4 (Flashlight Off Viewers)","W darkness enjoyer","line","wired-in-graph","ChatGraph.asset: Flashlight Off Messages"
"B015","flashlight_on","POC (unlabeled)","Player spams flashlight (Spam Counter threshold 3)","React intent (fearful+humor weighted)","(none; counter branch)","why is this guy spamming his flashlight like crazy","line","wired-in-graph","ChatGraph.asset: Spam Messages"
